generation,genome,fitness,complete_lines,aggregate_height,holes,bumpiness
5,55,54540,0.598,-0.446,-0.8,-0.316
5,56,54540,0.435,-0.828,-0.8,-0.407
5,57,54540,0.511,-0.698,-0.8,-0.315
5,58,54680,0.475,-0.824,-0.8,-0.357
5,59,55200,0.495,-0.673,-0.8,-0.372
5,60,55280,0.463,-0.781,-0.7,-0.339
5,61,55280,0.486,-0.645,-0.7,-0.341
5,62,55440,0.603,-0.418,-0.8,-0.307
5,63,55540,0.371,-0.94,-0.8,-0.446
5,64,55680,0.597,-0.472,-0.8,-0.282
5,65,55880,0.513,-0.622,-0.9,-0.299
5,66,56480,0.461,-0.743,-0.9,-0.347
5,67,56600,0.553,-0.468,-0.7,-0.279
5,68,56740,0.589,-0.348,-0.9,-0.247
5,69,57340,0.422,-0.86,-0.8,-0.502
5,70,57740,0.368,-0.942,-0.8,-0.541
5,71,59400,0.399,-0.865,-0.9,-0.391
5,72,61080,0.429,-0.915,-0.8,-0.346
5,73,61080,0.423,-0.967,-0.889,-0.511
5,74,61480,0.401,-0.823,-0.9,-0.397
5,75,61480,0.438,-0.736,-0.6,-0.456
5,76,62280,0.804,0.165,-0.8,-0.088
5,77,62680,0.505,-0.731,-0.8,-0.326
5,78,62800,0.405,-0.91,-0.8,-0.476
5,79,63280,0.513,-0.622,-0.9,-0.299
5,80,63540,0.638,-0.396,-0.8,-0.189
5,81,64280,0.625,-0.394,-0.8,-0.294
5,82,64480,0.433,-0.866,-0.7,-0.393
5,83,64540,0.761,-0.01,-0.6,-0.09
5,84,64880,0.581,-0.449,-0.8,-0.258
5,85,64880,0.427,-0.931,-0.8,-0.398
5,86,65280,0.517,-0.666,-0.8,-0.304
5,87,65680,0.581,-0.358,-0.9,-0.265
5,88,66540,0.395,-0.7,-0.8,-0.281
5,89,66740,0.345,-0.856,-0.7,-0.35
5,90,67340,0.485,-0.916,-0.824,-0.283
5,91,67640,0.617,-0.409,-0.8,-0.271
5,92,68000,0.388,-0.874,-0.9,-0.418
5,93,68340,0.47,-0.805,-0.8,-0.353
5,94,68640,0.406,-0.919,-0.8,-0.387
5,95,71940,0.435,-0.828,-0.8,-0.407
5,96,73880,0.418,-0.919,-0.7,-0.289
5,97,74640,0.397,-0.817,-0.9,-0.396
5,98,75340,0.754,-0.114,-0.8,-0.131
5,99,76940,0.441,-0.837,-0.7,-0.448
5,100,78540,0.426,-0.819,-0.8,-0.324
6,1,12800,0.443,-0.864,-0.7,-0.32
6,2,15200,0.429,-0.915,-0.8,-0.346
6,3,32800,0.419,-0.827,-0.8,-0.422
6,4,40400,0.513,-0.622,-0.9,-0.299
6,5,42200,0.553,-0.468,-0.7,-0.279
6,6,48680,0.371,-0.94,-0.8,-0.446
6,7,49080,0.427,-0.931,-0.8,-0.398
6,8,49880,0.599,-0.559,-0.6,-0.189
6,9,50000,0.433,-0.866,-0.7,-0.393
6,10,50140,0.368,-0.942,-0.8,-0.541
6,11,50280,0.525,-0.635,-0.7,-0.378
6,12,50340,0.589,-0.348,-0.9,-0.247
6,13,50480,0.397,-0.817,-0.9,-0.396
6,14,50680,0.495,-0.673,-0.8,-0.372
6,15,50680,0.511,-0.666,-0.8,-0.329
6,16,50740,0.597,-0.438,-0.6,-0.241
6,17,50740,0.416,-0.822,-0.9,-0.401
6,18,50880,0.396,-0.762,-0.9,-0.342
6,19,51280,0.597,-0.472,-0.8,-0.282
6,20,51280,0.43,-0.823,-0.8,-0.364
6,21,51280,0.576,-0.464,-0.8,-0.263
6,22,51280,0.804,0.165,-0.8,-0.088
6,23,51340,0.405,-0.91,-0.8,-0.476
6,24,51400,0.754,-0.114,-0.8,-0.131
6,25,51400,0.761,-0.01,-0.6,-0.09
6,26,51480,0.513,-0.622,-0.9,-0.299
6,27,51480,0.443,-0.845,-0.7,-0.501
6,28,51540,0.419,-0.827,-0.8,-0.422
6,29,51540,0.588,-0.498,-0.8,-0.253
6,30,51680,0.588,-0.513,-0.8,-0.209
6,31,51740,0.625,-0.394,-0.8,-0.294
6,32,51740,0.511,-0.666,-0.8,-0.329
6,33,51800,0.588,-0.498,-0.8,-0.253
6,34,51880,0.438,-0.736,-0.6,-0.456
6,35,52080,0.638,-0.396,-0.8,-0.189
6,36,52080,0.512,-0.665,-0.8,-0.342
6,37,52140,0.399,-0.865,-0.9,-0.391
6,38,52140,0.426,-0.819,-0.8,-0.324
6,39,52540,0.611,-0.46,-0.8,-0.299
6,40,52540,0.487,-0.576,-0.8,-0.27
6,41,52540,0.475,-0.824,-0.8,-0.357
6,42,52800,0.463,-0.781,-0.7,-0.339
6,43,53000,0.42,-0.779,-0.7,-0.426
6,44,53080,0.47,-0.805,-0.8,-0.353
6,45,53140,0.356,-0.896,-0.7,-0.439
6,46,53340,0.426,-0.874,-0.7,-0.347
